step,arc,vx,dS_p10,dS_p50,ess_final,frac_unsafe,n_all_unsafe,unsafe_mean,unsafe_max,unsafe_final,sigma_S,sigma_S_bulk,w_max
215,4401.4,-21.445,6.44205e+10,1.63237e+11,1,0.074,0,37,206,124,9.22027e+10,4.30387e+10,1
216,4399.49,-21.5971,4.94537e+10,1.43249e+11,1,0.0666182,0,33.3091,191,191,8.72779e+10,3.83555e+10,1
217,4397.58,-21.7826,5.82877e+10,1.59439e+11,1,0.0694909,0,34.7455,215,12,9.50946e+10,4.29792e+10,1
218,4397.58,-21.8587,4.77923e+10,1.4345e+11,1,0.062,0,31,187,32,8.30514e+10,4.01092e+10,1
219,4395.67,-21.6843,4.89014e+10,1.50694e+11,1,0.0679636,0,33.9818,146,25,8.84788e+10,4.25448e+10,1
220,4395.67,-21.8676,4.79876e+10,1.37865e+11,1,0.0617454,0,30.8727,144,78,8.01317e+10,3.64159e+10,1
221,4393.75,-21.9959,4.1274e+10,1.32747e+11,1,0.0602182,0,30.1091,143,79,8.22094e+10,3.81266e+10,1
222,4393.75,-21.814,5.32169e+10,1.56618e+11,1,0.0721818,0,36.0909,199,199,9.20375e+10,4.28288e+10,1
223,4391.83,-21.7411,4.954e+10,1.47577e+11,1,0.064,0,32,138,63,8.14075e+10,3.77992e+10,1
224,4389.92,-21.8259,4.57076e+10,1.47337e+11,1,0.0651273,0,32.5636,140,88,9.32944e+10,4.1775e+10,1
225,4389.92,-22.0044,6.11935e+10,1.67189e+11,1,0.0702909,0,35.1455,184,73,8.6683e+10,4.1791e+10,1
